2023-05-03_21-38-52,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-03_22-26-08,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 1500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-03_23-11-22,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-03_23-13-06,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 2000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-03_23-59-30,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 2500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-04_00-44-43,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 3000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-04_01-28-07,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-04_02-11-39,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-04_02-20-41,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-04_02-55-03,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 1500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
