"2021-06-16_17-07-05,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_17-53-37,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_18-24-10,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-16_18-47-05,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_19-33-15,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_20-18-11,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_20-18-25,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-16_21-11-18,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_21-55-52,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-16_21-57-45,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_22-41-17,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_23-37-16,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
