"2021-06-16_22-55-08,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-16_23-12-02,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_23-52-59,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_00-08-10,{'scale': 50, 'lambda': 9.0, 'nu': 0.05, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-17_00-23-49,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_00-56-07,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_01-26-52,{'scale': 50, 'lambda': 9.5, 'nu': 0.05, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-17_01-33-19,{'scale': 50, 'lambda': 9.0, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_02-09-54,{'scale': 50, 'lambda': 9.0, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_02-47-53,{'scale': 50, 'lambda': 9.0, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_02-53-40,{'scale': 50, 'lambda': 9.8, 'nu': 0.05, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-17_03-25-09,{'scale': 50, 'lambda': 9.5, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_03-56-58,{'scale': 50, 'lambda': 9.5, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_04-30-43,{'scale': 50, 'lambda': 9.5, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_05-11-35,{'scale': 50, 'lambda': 9.8, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_05-43-27,{'scale': 50, 'lambda': 9.8, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-17_06-18-03,{'scale': 50, 'lambda': 9.8, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
